Number;Region;data;confirmed;dead;recovered
3;Dnipropetrovsk;24.01.20;0;0;0
3;Dnipropetrovsk;25.01.20;0;0;0
3;Dnipropetrovsk;26.01.20;0;0;0
3;Dnipropetrovsk;27.01.20;0;0;0
3;Dnipropetrovsk;28.01.20;0;0;0
3;Dnipropetrovsk;29.01.20;0;0;0
3;Dnipropetrovsk;30.01.20;0;0;0
3;Dnipropetrovsk;31.01.20;0;0;0
3;Dnipropetrovsk;01.02.20;0;0;0
3;Dnipropetrovsk;02.02.20;0;0;0
3;Dnipropetrovsk;03.02.20;0;0;0
3;Dnipropetrovsk;04.02.20;0;0;0
3;Dnipropetrovsk;05.02.20;0;0;0
3;Dnipropetrovsk;06.02.20;0;0;0
3;Dnipropetrovsk;07.02.20;0;0;0
3;Dnipropetrovsk;08.02.20;0;0;0
3;Dnipropetrovsk;09.02.20;0;0;0
3;Dnipropetrovsk;10.02.20;0;0;0
3;Dnipropetrovsk;11.02.20;0;0;0
3;Dnipropetrovsk;12.02.20;0;0;0
3;Dnipropetrovsk;13.02.20;0;0;0
3;Dnipropetrovsk;14.02.20;0;0;0
3;Dnipropetrovsk;15.02.20;0;0;0
3;Dnipropetrovsk;16.02.20;0;0;0
3;Dnipropetrovsk;17.02.20;0;0;0
3;Dnipropetrovsk;18.02.20;0;0;0
3;Dnipropetrovsk;19.02.20;0;0;0
3;Dnipropetrovsk;20.02.20;0;0;0
3;Dnipropetrovsk;21.02.20;0;0;0
3;Dnipropetrovsk;22.02.20;0;0;0
3;Dnipropetrovsk;23.02.20;0;0;0
3;Dnipropetrovsk;24.02.20;0;0;0
3;Dnipropetrovsk;25.02.20;0;0;0
3;Dnipropetrovsk;26.02.20;0;0;0
3;Dnipropetrovsk;27.02.20;0;0;0
3;Dnipropetrovsk;28.02.20;0;0;0
3;Dnipropetrovsk;29.02.20;0;0;0
3;Dnipropetrovsk;01.03.20;0;0;0
3;Dnipropetrovsk;02.03.20;0;0;0
3;Dnipropetrovsk;03.03.20;0;0;0
3;Dnipropetrovsk;04.03.20;0;0;0
3;Dnipropetrovsk;05.03.20;0;0;0
3;Dnipropetrovsk;06.03.20;0;0;0
3;Dnipropetrovsk;07.03.20;0;0;0
3;Dnipropetrovsk;08.03.20;0;0;0
3;Dnipropetrovsk;09.03.20;0;0;0
3;Dnipropetrovsk;10.03.20;0;0;0
3;Dnipropetrovsk;11.03.20;0;0;0
3;Dnipropetrovsk;12.03.20;0;0;0
3;Dnipropetrovsk;13.03.20;0;0;0
3;Dnipropetrovsk;14.03.20;0;0;0
3;Dnipropetrovsk;15.03.20;0;0;0
3;Dnipropetrovsk;16.03.20;0;0;0
3;Dnipropetrovsk;17.03.20;0;0;0
3;Dnipropetrovsk;18.03.20;0;0;0
3;Dnipropetrovsk;19.03.20;2;0;0
3;Dnipropetrovsk;20.03.20;0;0;0
3;Dnipropetrovsk;21.03.20;0;0;0
3;Dnipropetrovsk;22.03.20;0;0;0
3;Dnipropetrovsk;23.03.20;0;0;0
3;Dnipropetrovsk;24.03.20;0;0;0
3;Dnipropetrovsk;25.03.20;1;0;0
3;Dnipropetrovsk;26.03.20;0;0;0
3;Dnipropetrovsk;27.03.20;3;0;0
3;Dnipropetrovsk;28.03.20;0;0;0
3;Dnipropetrovsk;29.03.20;2;0;0
3;Dnipropetrovsk;30.03.20;1;0;1
3;Dnipropetrovsk;31.03.20;0;0;0
3;Dnipropetrovsk;01.04.20;1;0;0
3;Dnipropetrovsk;02.04.20;2;0;0
3;Dnipropetrovsk;03.04.20;2;0;2
3;Dnipropetrovsk;04.04.20;0;0;1
3;Dnipropetrovsk;05.04.20;0;0;0
3;Dnipropetrovsk;06.04.20;12;0;0
3;Dnipropetrovsk;07.04.20;15;0;0
3;Dnipropetrovsk;08.04.20;1;0;0
3;Dnipropetrovsk;09.04.20;10;0;0
3;Dnipropetrovsk;10.04.20;3;0;1
3;Dnipropetrovsk;11.04.20;3;0;3
3;Dnipropetrovsk;12.04.20;2;0;0
3;Dnipropetrovsk;13.04.20;12;0;0
3;Dnipropetrovsk;14.04.20;5;1;0
3;Dnipropetrovsk;15.04.20;8;0;0
3;Dnipropetrovsk;16.04.20;16;0;1
3;Dnipropetrovsk;17.04.20;5;0;0
3;Dnipropetrovsk;18.04.20;6;0;0
3;Dnipropetrovsk;19.04.20;8;0;0
3;Dnipropetrovsk;20.04.20;4;0;0
3;Dnipropetrovsk;21.04.20;27;0;0
3;Dnipropetrovsk;22.04.20;38;0;3
3;Dnipropetrovsk;23.04.20;11;0;0
3;Dnipropetrovsk;24.04.20;42;0;6
3;Dnipropetrovsk;25.04.20;53;0;0
3;Dnipropetrovsk;26.04.20;23;1;1
3;Dnipropetrovsk;27.04.20;1;1;2
3;Dnipropetrovsk;28.04.20;9;0;5
3;Dnipropetrovsk;29.04.20;22;0;6
3;Dnipropetrovsk;30.04.20;14;0;51
3;Dnipropetrovsk;01.05.20;77;0;1
3;Dnipropetrovsk;02.05.20;7;1;1
3;Dnipropetrovsk;03.05.20;12;0;1
3;Dnipropetrovsk;04.05.20;20;1;17
3;Dnipropetrovsk;05.05.20;91;0;7
3;Dnipropetrovsk;06.05.20;50;0;4
3;Dnipropetrovsk;07.05.20;31;1;7
3;Dnipropetrovsk;08.05.20;29;0;10
3;Dnipropetrovsk;09.05.20;23;2;0
3;Dnipropetrovsk;10.05.20;27;0;0
3;Dnipropetrovsk;11.05.20;22;1;3
3;Dnipropetrovsk;12.05.20;23;0;20
3;Dnipropetrovsk;13.05.20;5;1;17
3;Dnipropetrovsk;14.05.20;10;1;19
3;Dnipropetrovsk;15.05.20;16;0;23
3;Dnipropetrovsk;16.05.20;30;4;4
3;Dnipropetrovsk;17.05.20;6;0;11
3;Dnipropetrovsk;18.05.20;1;0;39
3;Dnipropetrovsk;19.05.20;5;0;67
3;Dnipropetrovsk;20.05.20;10;1;34
3;Dnipropetrovsk;21.05.20;4;0;37
3;Dnipropetrovsk;22.05.20;2;1;38
3;Dnipropetrovsk;23.05.20;7;0;9
3;Dnipropetrovsk;24.05.20;14;2;1
3;Dnipropetrovsk;25.05.20;14;0;60
3;Dnipropetrovsk;26.05.20;8;0;80
3;Dnipropetrovsk;27.05.20;16;0;35
3;Dnipropetrovsk;28.05.20;8;1;14
3;Dnipropetrovsk;29.05.20;3;1;22
3;Dnipropetrovsk;30.05.20;9;0;10
3;Dnipropetrovsk;31.05.20;0;0;0
3;Dnipropetrovsk;01.06.20;2;0;10
3;Dnipropetrovsk;02.06.20;8;0;6
3;Dnipropetrovsk;03.06.20;5;0;5
3;Dnipropetrovsk;04.06.20;3;0;5
3;Dnipropetrovsk;05.06.20;5;1;7
3;Dnipropetrovsk;06.06.20;6;0;0
3;Dnipropetrovsk;07.06.20;0;0;1
3;Dnipropetrovsk;08.06.20;0;0;0
3;Dnipropetrovsk;09.06.20;2;0;2
3;Dnipropetrovsk;10.06.20;8;0;4
3;Dnipropetrovsk;11.06.20;2;0;2
3;Dnipropetrovsk;12.06.20;13;0;5
3;Dnipropetrovsk;13.06.20;2;0;0
3;Dnipropetrovsk;14.06.20;0;0;0
4;Donetsk;22.01.20;0;0;0
4;Donetsk;23.01.20;0;0;0
4;Donetsk;24.01.20;0;0;0
4;Donetsk;25.01.20;0;0;0
4;Donetsk;26.01.20;0;0;0
4;Donetsk;27.01.20;0;0;0
4;Donetsk;28.01.20;0;0;0
4;Donetsk;29.01.20;0;0;0
4;Donetsk;30.01.20;0;0;0
4;Donetsk;31.01.20;0;0;0
4;Donetsk;01.02.20;0;0;0
4;Donetsk;02.02.20;0;0;0
4;Donetsk;03.02.20;0;0;0
4;Donetsk;04.02.20;0;0;0
4;Donetsk;05.02.20;0;0;0
4;Donetsk;06.02.20;0;0;0
4;Donetsk;07.02.20;0;0;0
4;Donetsk;08.02.20;0;0;0
4;Donetsk;09.02.20;0;0;0
4;Donetsk;10.02.20;0;0;0
4;Donetsk;11.02.20;0;0;0
4;Donetsk;12.02.20;0;0;0
4;Donetsk;13.02.20;0;0;0
4;Donetsk;14.02.20;0;0;0
4;Donetsk;15.02.20;0;0;0
4;Donetsk;16.02.20;0;0;0
4;Donetsk;17.02.20;0;0;0
4;Donetsk;18.02.20;0;0;0
4;Donetsk;19.02.20;0;0;0
4;Donetsk;20.02.20;0;0;0
4;Donetsk;21.02.20;0;0;0
4;Donetsk;22.02.20;0;0;0
4;Donetsk;23.02.20;0;0;0
4;Donetsk;24.02.20;0;0;0
4;Donetsk;25.02.20;0;0;0
4;Donetsk;26.02.20;0;0;0
4;Donetsk;27.02.20;0;0;0
4;Donetsk;28.02.20;0;0;0
4;Donetsk;29.02.20;0;0;0
4;Donetsk;01.03.20;0;0;0
4;Donetsk;02.03.20;0;0;0
4;Donetsk;03.03.20;0;0;0
4;Donetsk;04.03.20;0;0;0
4;Donetsk;05.03.20;0;0;0
4;Donetsk;06.03.20;0;0;0
4;Donetsk;07.03.20;0;0;0
4;Donetsk;08.03.20;0;0;0
4;Donetsk;09.03.20;0;0;0
4;Donetsk;10.03.20;0;0;0
4;Donetsk;11.03.20;0;0;0
4;Donetsk;12.03.20;0;0;0
4;Donetsk;13.03.20;0;0;0
4;Donetsk;14.03.20;0;0;0
4;Donetsk;15.03.20;0;0;0
4;Donetsk;16.03.20;0;0;0
4;Donetsk;17.03.20;0;0;0
4;Donetsk;18.03.20;1;0;0
4;Donetsk;19.03.20;0;0;0
4;Donetsk;20.03.20;0;0;0
4;Donetsk;21.03.20;0;0;0
4;Donetsk;22.03.20;0;0;0
4;Donetsk;23.03.20;0;0;0
4;Donetsk;24.03.20;0;0;0
4;Donetsk;25.03.20;0;0;0
4;Donetsk;26.03.20;1;0;0
4;Donetsk;27.03.20;0;0;0
4;Donetsk;28.03.20;0;0;0
4;Donetsk;29.03.20;4;0;0
4;Donetsk;30.03.20;1;0;0
4;Donetsk;31.03.20;0;0;0
4;Donetsk;01.04.20;0;0;0
4;Donetsk;02.04.20;1;0;0
4;Donetsk;03.04.20;1;1;0
4;Donetsk;04.04.20;0;0;0
4;Donetsk;05.04.20;0;0;0
4;Donetsk;06.04.20;0;0;0
4;Donetsk;07.04.20;2;0;0
4;Donetsk;08.04.20;0;0;1
4;Donetsk;09.04.20;0;0;0
4;Donetsk;10.04.20;0;0;0
4;Donetsk;11.04.20;0;0;1
4;Donetsk;12.04.20;0;0;0
4;Donetsk;13.04.20;1;0;3
4;Donetsk;14.04.20;0;0;0
4;Donetsk;15.04.20;1;0;0
4;Donetsk;16.04.20;0;0;1
4;Donetsk;17.04.20;2;0;1
4;Donetsk;18.04.20;2;0;0
4;Donetsk;19.04.20;0;0;0
4;Donetsk;20.04.20;0;0;1
4;Donetsk;21.04.20;3;0;2
4;Donetsk;22.04.20;7;0;0
4;Donetsk;23.04.20;10;0;0
4;Donetsk;24.04.20;2;0;0
4;Donetsk;25.04.20;25;0;0
4;Donetsk;26.04.20;0;0;0
4;Donetsk;27.04.20;0;0;1
4;Donetsk;28.04.20;6;0;0
4;Donetsk;29.04.20;17;0;0
4;Donetsk;30.04.20;3;0;2
4;Donetsk;01.05.20;0;1;0
4;Donetsk;02.05.20;0;0;0
4;Donetsk;03.05.20;1;1;0
4;Donetsk;04.05.20;6;0;0
4;Donetsk;05.05.20;2;0;1
4;Donetsk;06.05.20;10;0;5
4;Donetsk;07.05.20;5;0;3
4;Donetsk;08.05.20;1;0;0
4;Donetsk;09.05.20;0;0;0
4;Donetsk;10.05.20;1;0;0
4;Donetsk;11.05.20;1;0;0
4;Donetsk;12.05.20;4;0;7
4;Donetsk;13.05.20;2;0;12
4;Donetsk;14.05.20;4;0;6
4;Donetsk;15.05.20;3;1;7
4;Donetsk;16.05.20;3;0;2
4;Donetsk;17.05.20;0;0;0
4;Donetsk;18.05.20;1;0;6
4;Donetsk;19.05.20;2;0;1
4;Donetsk;20.05.20;4;0;4
4;Donetsk;21.05.20;2;0;6
4;Donetsk;22.05.20;1;0;1
4;Donetsk;23.05.20;0;1;2
4;Donetsk;24.05.20;5;0;2
4;Donetsk;25.05.20;8;0;5
4;Donetsk;26.05.20;0;0;3
4;Donetsk;27.05.20;3;0;3
4;Donetsk;28.05.20;0;0;2
4;Donetsk;29.05.20;1;0;6
4;Donetsk;30.05.20;3;0;5
4;Donetsk;31.05.20;0;0;0
4;Donetsk;01.06.20;1;0;4
4;Donetsk;02.06.20;3;1;5
4;Donetsk;03.06.20;8;0;8
4;Donetsk;04.06.20;21;0;1
4;Donetsk;05.06.20;8;0;1
4;Donetsk;06.06.20;27;0;2
4;Donetsk;07.06.20;0;0;0
4;Donetsk;08.06.20;3;0;0
4;Donetsk;09.06.20;7;0;0
4;Donetsk;10.06.20;26;0;0
4;Donetsk;11.06.20;11;0;4
4;Donetsk;12.06.20;11;0;0
4;Donetsk;13.06.20;4;0;0
4;Donetsk;14.06.20;40;0;0
5;Zhytomyr;22.01.20;0;0;0
5;Zhytomyr;23.01.20;0;0;0
5;Zhytomyr;24.01.20;0;0;0
5;Zhytomyr;25.01.20;0;0;0
5;Zhytomyr;26.01.20;0;0;0
5;Zhytomyr;27.01.20;0;0;0
5;Zhytomyr;28.01.20;0;0;0
5;Zhytomyr;29.01.20;0;0;0
5;Zhytomyr;30.01.20;0;0;0
5;Zhytomyr;31.01.20;0;0;0
5;Zhytomyr;01.02.20;0;0;0
5;Zhytomyr;02.02.20;0;0;0
5;Zhytomyr;03.02.20;0;0;0
5;Zhytomyr;04.02.20;0;0;0
5;Zhytomyr;05.02.20;0;0;0
5;Zhytomyr;06.02.20;0;0;0
5;Zhytomyr;07.02.20;0;0;0
5;Zhytomyr;08.02.20;0;0;0
5;Zhytomyr;09.02.20;0;0;0
5;Zhytomyr;10.02.20;0;0;0
5;Zhytomyr;11.02.20;0;0;0
5;Zhytomyr;12.02.20;0;0;0
5;Zhytomyr;13.02.20;0;0;0
5;Zhytomyr;14.02.20;0;0;0
5;Zhytomyr;15.02.20;0;0;0
5;Zhytomyr;16.02.20;0;0;0
5;Zhytomyr;17.02.20;0;0;0
5;Zhytomyr;18.02.20;0;0;0
5;Zhytomyr;19.02.20;0;0;0
5;Zhytomyr;20.02.20;0;0;0
5;Zhytomyr;21.02.20;0;0;0
5;Zhytomyr;22.02.20;0;0;0
5;Zhytomyr;23.02.20;0;0;0
5;Zhytomyr;24.02.20;0;0;0
5;Zhytomyr;25.02.20;0;0;0
5;Zhytomyr;26.02.20;0;0;0
5;Zhytomyr;27.02.20;0;0;0
5;Zhytomyr;28.02.20;0;0;0
5;Zhytomyr;29.02.20;0;0;0
5;Zhytomyr;01.03.20;0;0;0
5;Zhytomyr;02.03.20;0;0;0
5;Zhytomyr;03.03.20;0;0;0
5;Zhytomyr;04.03.20;0;0;0
5;Zhytomyr;05.03.20;0;0;0
5;Zhytomyr;06.03.20;0;0;0
5;Zhytomyr;07.03.20;0;0;0
5;Zhytomyr;08.03.20;0;0;0
5;Zhytomyr;09.03.20;0;0;0
5;Zhytomyr;10.03.20;0;0;0
5;Zhytomyr;11.03.20;0;0;0
5;Zhytomyr;12.03.20;1;0;0
5;Zhytomyr;13.03.20;0;1;0
5;Zhytomyr;14.03.20;0;0;0
5;Zhytomyr;15.03.20;0;0;0
5;Zhytomyr;16.03.20;0;0;0
5;Zhytomyr;17.03.20;0;0;0
5;Zhytomyr;18.03.20;0;0;0
5;Zhytomyr;19.03.20;1;0;0
5;Zhytomyr;20.03.20;0;0;0
5;Zhytomyr;21.03.20;0;0;0
5;Zhytomyr;22.03.20;0;0;0
5;Zhytomyr;23.03.20;0;0;0
5;Zhytomyr;24.03.20;0;0;0
5;Zhytomyr;25.03.20;0;0;0
5;Zhytomyr;26.03.20;2;0;0
5;Zhytomyr;27.03.20;1;0;0
