Number        Region        Date          Confirmed     Dead          Recovered     
             2Volyn             22.04.2020            17             0             7
             2Volyn             23.04.2020             9             0             6
             2Volyn             24.04.2020            16             1            18
             2Volyn             25.04.2020            22             1             0
             2Volyn             26.04.2020            11             0             1
             2Volyn             27.04.2020             8             0             4
             2Volyn             28.04.2020            11             0             7
             2Volyn             29.04.2020            18             0             6
             2Volyn             30.04.2020            16             0             0
             2Volyn             01.05.2020            11             0             4
             2Volyn             02.05.2020            12             1             5
             2Volyn             03.05.2020             9             0             0
             2Volyn             04.05.2020            14             0            18
             2Volyn             05.05.2020            27             2            20
             2Volyn             06.05.2020            20             1             5
             2Volyn             07.05.2020            30             0             1
             2Volyn             08.05.2020            34             0             1
             2Volyn             09.05.2020            15             1             0
             2Volyn             10.05.2020             7             0             1
             2Volyn             11.05.2020            19             2             5
             2Volyn             12.05.2020            15             0             3
             2Volyn             13.05.2020            39             4            11
             2Volyn             14.05.2020            26             0             2
             2Volyn             15.05.2020            17             0             7
             2Volyn             16.05.2020            16             0             1
             2Volyn             17.05.2020             7             0             0
             2Volyn             18.05.2020            40             1             9
             2Volyn             19.05.2020            24             3            10
             2Volyn             20.05.2020            31             0             4
             2Volyn             21.05.2020            31             1             5
             2Volyn             22.05.2020            13             0             5
             2Volyn             23.05.2020            15             1             0
             2Volyn             24.05.2020            23             1             0
             2Volyn             25.05.2020             8             0            14
             2Volyn             26.05.2020            18             0            13
             2Volyn             27.05.2020            36             1            22
             2Volyn             28.05.2020            14             0             4
             2Volyn             29.05.2020            16             1            22
             2Volyn             30.05.2020            27             0             3
             2Volyn             31.05.2020            14             0             2
             2Volyn             01.06.2020            12             0            10
             2Volyn             02.06.2020            16             2            16
             2Volyn             03.06.2020            20             2             6
             2Volyn             04.06.2020            27             2             0
             2Volyn             05.06.2020            29             0            11
             2Volyn             06.06.2020            13             0             0
             2Volyn             07.06.2020            27             2             0
             2Volyn             08.06.2020            35             2             0
             2Volyn             09.06.2020            99             3            24
             2Volyn             10.06.2020            51             1            14
             2Volyn             11.06.2020            45             2            39
             2Volyn             12.06.2020            40             1            63
             2Volyn             13.06.2020            43             0             3
             2Volyn             14.06.2020            41             0             0
             3Dnipropetrovsk    22.01.2020             0             0             0
             3Dnipropetrovsk    23.01.2020             0             0             0
             3Dnipropetrovsk    24.01.2020             0             0             0
             3Dnipropetrovsk    25.01.2020             0             0             0
             3Dnipropetrovsk    26.01.2020             0             0             0
             3Dnipropetrovsk    27.01.2020             0             0             0
             3Dnipropetrovsk    28.01.2020             0             0             0
             3Dnipropetrovsk    29.01.2020             0             0             0
             3Dnipropetrovsk    30.01.2020             0             0             0
             3Dnipropetrovsk    31.01.2020             0             0             0
             3Dnipropetrovsk    01.02.2020             0             0             0
             3Dnipropetrovsk    02.02.2020             0             0             0
             3Dnipropetrovsk    03.02.2020             0             0             0
             3Dnipropetrovsk    04.02.2020             0             0             0
             3Dnipropetrovsk    05.02.2020             0             0             0
             3Dnipropetrovsk    06.02.2020             0             0             0
             3Dnipropetrovsk    07.02.2020             0             0             0
             3Dnipropetrovsk    08.02.2020             0             0             0
             3Dnipropetrovsk    09.02.2020             0             0             0
             3Dnipropetrovsk    10.02.2020             0             0             0
             3Dnipropetrovsk    11.02.2020             0             0             0
             3Dnipropetrovsk    12.02.2020             0             0             0
             3Dnipropetrovsk    13.02.2020             0             0             0
             3Dnipropetrovsk    14.02.2020             0             0             0
             3Dnipropetrovsk    15.02.2020             0             0             0
             3Dnipropetrovsk    16.02.2020             0             0             0
             3Dnipropetrovsk    17.02.2020             0             0             0
             3Dnipropetrovsk    18.02.2020             0             0             0
             3Dnipropetrovsk    19.02.2020             0             0             0
             3Dnipropetrovsk    20.02.2020             0             0             0
             3Dnipropetrovsk    21.02.2020             0             0             0
             3Dnipropetrovsk    22.02.2020             0             0             0
             3Dnipropetrovsk    23.02.2020             0             0             0
             3Dnipropetrovsk    24.02.2020             0             0             0
             3Dnipropetrovsk    25.02.2020             0             0             0
             3Dnipropetrovsk    26.02.2020             0             0             0
             3Dnipropetrovsk    27.02.2020             0             0             0
             3Dnipropetrovsk    28.02.2020             0             0             0
             3Dnipropetrovsk    29.02.2020             0             0             0
             3Dnipropetrovsk    01.03.2020             0             0             0
             3Dnipropetrovsk    02.03.2020             0             0             0
             3Dnipropetrovsk    03.03.2020             0             0             0
             3Dnipropetrovsk    04.03.2020             0             0             0
             3Dnipropetrovsk    05.03.2020             0             0             0
             3Dnipropetrovsk    06.03.2020             0             0             0
             3Dnipropetrovsk    07.03.2020             0             0             0
             3Dnipropetrovsk    08.03.2020             0             0             0
             3Dnipropetrovsk    09.03.2020             0             0             0
             3Dnipropetrovsk    10.03.2020             0             0             0
